"Term","Definition","Category","Tags"
"Cumulative Conflict Counter","The lifetime, not per-integration-phase, tally of git-level conflicts recorded against an ungoverned shared file. Crossing a fixed threshold queues the file for human-confirmed promotion into the Shared-File Registry, with the count decaying on clean phases to distinguish chronic friction from an isolated heavy refactor.","Shared-File Governance","shared-file; integrator; self-expanding-governance; phase-5"
"Deterministic Triage","The practice of classifying execution failures using a fixed rules engine based on structured telemetry (e.g., FailureSignature) before invoking an LLM for judgment.","Failure Triage","failure-triage; deterministic; principle-10"
"Deterministic-First Principle","The system-wide rule that any event classifiable from structured signals alone, such as a flake signature or a conflict count, is classified by a fixed rules engine; an LLM is invoked only for the ambiguous residue that doesn't cleanly match a rule.","Core Principle","deterministic; principle-10; failure-triage; shared-file"
"Disjoint Write Ownership","A rule enforcing that each parallel Task Dev agent operates within a mutually exclusive set of files (src/**), preventing standard git conflicts by design.","Core Principle","ownership; task-dev; principle-4; swarm"
"Environment/Infra Queue","The remediation path for failures the deterministic triage matrix classifies as infrastructure-related, such as timing, DOM state leakage, or network, rather than code bugs. Kept separate from the standard Task Dev code-fix loop so infra issues aren't fixed with spurious code changes.","Failure Triage","failure-triage; infra; task-dev; routing"
"Escalation Ladder","The defined sequence of responses to repeated agent failure (e.g., 1. Re-gather context, 2. Re-spec task, 3. Escalate model tier, 4. Halt to human).","Loop & Escalation","escalation; loop-control; model-tier; human-gate"
"Evidence Reference","The `evidence_ref` field on a `Finding` — a pointer to where the issue lives (e.g., `""diff:src/foo.py#L42""`, `""log:run_id/line_88""`), so a finding is checkable rather than asserted.","Schema & Contract","gateresult; finding; schema"
"FailureSignature","The frozen schema capturing a test failure at the moment it happens — error class, elapsed time, configured timeout, isolated-rerun outcome, DOM-state diff from baseline, and network calls over threshold. The input the deterministic triage rules engine runs on; never reconstructed later from logs.","Schema & Contract","schema; failure-triage; test-harness; isolated-rerun"
"Finding","A single issue raised by a Validator agent: a severity (`blocking` or `advisory`), a message, and an `Evidence Reference`. The atomic unit a `GateResult` is a list of.","Schema & Contract","schema; gateresult; validator"
"Gate","A checkpoint a pipeline phase must pass before advancing — deterministic (e.g., `typecheck.strict`), agent-driven (e.g., Plan Reviewer), or human (e.g., Contract Freeze). Every gate that involves judgment returns a `GateResult`.","Process (Phase & Gate)","phase; gateresult; human-gate; deterministic"
"GateResult","The standardized return schema for every Validator agent: a pass/fail verdict, a list of findings tagged blocking or advisory, and a reference to the supporting evidence for each.","Schema & Contract","schema; validator; finding; principle-1"
"Human Gate","A checkpoint that requires explicit human sign-off and cannot be delegated to an agent — plan approval, Contract Freeze, shared-file registration/promotion, invariant deprecation, structural changes, and QA→Prod. Reserved for irreversible or judgment-heavy decisions.","Process (Phase & Gate)","human-gate; principle-6; phase"
"Interface Map","The set of contracts, function signatures, shared types, and ownership boundaries the Task Decomposer produces when splitting a plan into disjoint tasks, forming the basis of the Contract Freeze review.","Process (Phase & Gate)","task-decomposer; contract-freeze; ownership; phase-2"
"Invariant Manifest","The living document the Invariant Curator maintains: every stored architectural constraint, each tagged `repo_local` or `enterprise_wide`, that the Context Gatherer consults on every run so agents don't have to re-derive documented architecture from scratch.","Invariant Management","invariant; invariant-curator; context-gatherer"
"Invariant Scope","The repo_local or enterprise_wide classification attached to every stored architectural constraint, used to compute its zero-hit deprecation window correctly across single-repo versus cross-repo usage.","Invariant Management","invariant; schema; deprecation"
"Isolated Re-run","The automatic re-execution of a failing test by itself, before any classification happens. Cheap, resolves a large share of ambiguous failures immediately, and produces the `isolated_rerun_outcome` field the deterministic triage table keys on.","Failure Triage","failure-triage; failuresignature; test-harness"
"Loop Ceiling","The strict maximum iteration limit (max_retries) placed on adversarial loops (e.g., Plan Writer vs. Plan Reviewer) to prevent infinite, pedantic cycles.","Loop & Escalation","loop-control; budget; escalation-ladder"
"Maker/Checker Pairing","The foundational pipeline principle where every agent that generates an artifact (Maker) is paired with a distinct agent that validates it (Checker).","Core Principle","principle-1; validator; generator"
"Model Tier","The model a given agent step runs on (e.g., Sonnet vs. Opus). Rung 3 of the Escalation Ladder raises the tier for a task that has failed review at the current one — used only after re-gathering context and re-specifying the task have both been tried, so a specification problem isn't mistaken for a capability problem.","Loop & Escalation","escalation-ladder; model; cost"
"No-Conflict Gate","The deterministic check the Integrator runs during merge: because shared-file changes were already resolved via Additive Intents in the swarm phase, anything that reaches this gate as a conflict is a genuine git-level collision on disjoint code — a Boundary Failure, not routine merge noise.","Process (Phase & Gate)","integrator; boundary-failure; deterministic; phase-5"
"Phase","One of the pipeline's eight top-level stages — Planning & Context, Decomposition & TDD, Parallel Swarm, Integration, Verification & Cleanup, Promotion, and Observation — each with its own gates and agent handoffs.","Process (Phase & Gate)","phase; pipeline-structure"
"Protocol Fake","A typed test double implemented against a defined Protocol, or equivalent structural interface, rather than an open, Any-shaped mock, so that a drift between a fake and the real dependency's interface is caught by strict type-checking instead of passing a tautological test.","Test Harness","test-harness; tdd; tautological-test; test-author"
"Rules Engine","The fixed, ordered decision table a deterministic gate evaluates before any LLM sees the input — the concrete mechanism behind `Deterministic Triage` and the `Deterministic-First Principle`. `infra_triage_matrix.md` is the canonical example: first-matching-rule wins, and only genuine non-matches fall through to agent judgment.","Failure Triage","deterministic; failure-triage; principle-10"
"Self-Expanding Governance","The mechanism by which the Shared-File Registry grows over time, as files accumulating repeated git conflicts are flagged for promotion, so the governed file set is driven by observed friction rather than manual maintenance.","Shared-File Governance","shared-file; cumulative-conflict-counter; integrator"
"Shadow Mode","A deployment state for new Validator agents where they execute against real data and record their verdicts, but cannot gate or block progression until their accuracy is calibrated against a baseline.","Agent Role","validator; calibration; code-reviewer"
"Shared-File Intent Service","The deterministic-plus-validator agent that applies typed Additive Intents to registered shared files in real time, rejects colliding intents with `Blocking Context`, and tracks each file's `Cumulative Conflict Counter`. Named `Synchronous Intent Service` in earlier design versions and in the core roster table — see that entry.","Agent Role","agent; shared-file; deterministic; alias"
"Shared-File Registration","A one-time, human-gated onboarding step that maps the structural insertion points (AST nodes) of a file so it can safely process Additive Intents.","Shared-File Governance","shared-file; human-gate; structural-map"
"Smart Mutex Rejection","A real-time lock mechanism where an intent collision on a shared file is rejected and routed back to the submitting agent alongside the blocking context (what the opposing agent claimed), allowing for a one-shot fix.","Shared-File Governance","shared-file; intent; blocking-context; mutex"
"State Leakage","An infrastructure-class failure where a test fails due to polluted artifacts (e.g., leftover cookies, hung browser sessions from prior custom DOM extractions) rather than flawed test logic.","Test Harness","test-harness; failure-triage; baseline-snapshot"
"Structural Change","A non-additive architectural modification (e.g., splitting a router, breaking a DI graph) that falls outside the intent vocabulary and requires the human-gated Structural Change SOP.","Shared-File Governance","shared-file; human-gate; escape-hatch"
"Structural Map","The cached record, produced at Shared-File Registration, of a shared file's insertion points — where the relevant array or object lives, the shape of each entry, the anchor node for a new one. What lets an Additive Intent be applied as a mechanical AST transform with no LLM in the loop.","Shared-File Governance","shared-file; ast; registration; deterministic"
"Synchronous Intent Service","The real-time service that applies typed Additive Intents to registered shared files during the parallel swarm phase, replacing post-hoc merge resolution with immediate, deterministic application or rejection.","Shared-File Governance","shared-file; intent; deterministic; alias"
"Tautological Test","A test that passes regardless of whether the implementation is correct — most often because an untyped, Any-shaped mock silently accepts calls to methods that don't exist yet or with the wrong signature. What a `Protocol Fake` under strict mypy is built to make impossible.","Test Harness","test-harness; protocol-fake; tdd; mocking"
"TDD-First Build","The mandate that all implementation follows a failing test, strictly enforced by utilizing a dedicated Test Author agent that lacks implementation write permissions.","Core Principle","principle-3; test-author; tdd"
"Zero-hit Invariant","An architectural constraint stored by the Invariant Curator that has not been retrieved or utilized over a defined window. Flagged as a candidate for human-reviewed deprecation.","Invariant Management","invariant; invariant-curator; deprecation; human-gate"
