program,cost_center,cost_center_name,account,account_name,period,budget,actual
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-01,14840,15235
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-01,16960,17926
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-02,93280,94674
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-02,12720,12587
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-02,38160,39218
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-02,25440,25015
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-02,10600,11061
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-02,14840,14458
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-02,16960,16752
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-03,93280,94203
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-03,12720,12837
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-03,38160,39992
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-03,25440,25240
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-03,10600,10994
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-03,14840,14773
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-03,16960,17400
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-04,93280,90126
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-04,12720,12322
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-04,38160,38445
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-04,25440,26350
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-04,10600,10000
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-04,14840,14385
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-04,16960,16987
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-05,93280,92582
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-05,12720,12067
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-05,38160,40006
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-05,25440,26287
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-05,10600,10492
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-05,14840,14499
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-05,16960,17363
Criminal Operations,CC-4110,Case Processing,5100,Salaries — Regular,2026-06,93280,89079
Criminal Operations,CC-4110,Case Processing,5150,Salaries — Overtime,2026-06,12720,13387
Criminal Operations,CC-4110,Case Processing,5200,Benefits,2026-06,38160,38788
Criminal Operations,CC-4110,Case Processing,5400,Professional Services,2026-06,25440,24925
Criminal Operations,CC-4110,Case Processing,5600,Supplies,2026-06,10600,10634
Criminal Operations,CC-4110,Case Processing,5700,Equipment,2026-06,14840,14502
Criminal Operations,CC-4110,Case Processing,5800,Facilities & Utilities,2026-06,16960,16803
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-01,76560,79492
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-01,10440,10112
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-01,31320,30791
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-01,20880,21808
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-01,8700,8938
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-01,12180,12675
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-01,13920,14205
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-02,76560,77385
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-02,10440,10511
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-02,31320,32459
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-02,20880,21112
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-02,8700,8699
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-02,12180,11640
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-02,13920,14621
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-03,76560,78483
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-03,10440,10333
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-03,31320,32258
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-03,20880,20258
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-03,8700,9215
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-03,12180,11544
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-03,13920,14060
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-04,76560,72959
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-04,10440,10695
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-04,31320,30505
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-04,20880,20189
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-04,8700,8217
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-04,12180,11533
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-04,13920,14538
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-05,76560,77384
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-05,10440,9996
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-05,31320,32914
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-05,20880,20900
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-05,8700,-14200
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-05,12180,11539
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-05,13920,14149
Civil Operations,CC-4200,Civil Filings,5100,Salaries — Regular,2026-06,76560,78382
Civil Operations,CC-4200,Civil Filings,5150,Salaries — Overtime,2026-06,10440,10716
Civil Operations,CC-4200,Civil Filings,5200,Benefits,2026-06,31320,31826
Civil Operations,CC-4200,Civil Filings,5400,Professional Services,2026-06,20880,20228
Civil Operations,CC-4200,Civil Filings,5600,Supplies,2026-06,8700,8612
Civil Operations,CC-4200,Civil Filings,5700,Equipment,2026-06,12180,12063
Civil Operations,CC-4200,Civil Filings,5800,Facilities & Utilities,2026-06,13920,13099
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-01,38720,40071
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-01,5280,5002
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-01,15840,15619
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-01,10560,11101
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-01,4400,4392
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-01,6160,6226
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-01,7040,7061
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-02,38720,40772
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-02,5280,5395
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-02,15840,16279
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-02,10560,10928
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-02,4400,4183
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-02,6160,6192
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-02,7040,7028
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-03,38720,40615
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-03,5280,5062
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-03,15840,15419
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-03,10560,11145
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-03,4400,4500
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-03,6160,6391
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-03,7040,7068
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-04,38720,37249
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-04,5280,5596
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-04,15840,15655
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-04,10560,10699
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-04,4400,4611
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-04,6160,6125
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-04,7040,7170
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-05,38720,40810
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-05,5280,5457
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-05,15840,15736
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-05,10560,10027
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-05,4400,4342
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-05,6160,6091
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-05,7040,6924
Civil Operations,CC-4210,Small Claims,5100,Salaries — Regular,2026-06,38720,39671
Civil Operations,CC-4210,Small Claims,5150,Salaries — Overtime,2026-06,5280,5205
Civil Operations,CC-4210,Small Claims,5200,Benefits,2026-06,15840,15815
Civil Operations,CC-4210,Small Claims,5400,Professional Services,2026-06,10560,11182
Civil Operations,CC-4210,Small Claims,5600,Supplies,2026-06,4400,4581
Civil Operations,CC-4210,Small Claims,5700,Equipment,2026-06,6160,5931
Civil Operations,CC-4210,Small Claims,5800,Facilities & Utilities,2026-06,7040,6820
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-01,116600,122606
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-01,15900,16770
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-01,47700,49826
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-01,31800,32219
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-01,13250,13478
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-01,18550,17439
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-01,21200,20721
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-02,116600,119228
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-02,15900,15808
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-02,47700,50098
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-02,31800,31934
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-02,13250,12530
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-02,18550,19625
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-02,21200,20187
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-03,116600,122707
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-03,15900,16736
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-03,47700,46409
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-03,31800,31109
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-03,31800,31109
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-03,13250,13102
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-03,18550,19010
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-03,21200,21158
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-04,116600,118372
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-04,15900,15185
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-04,47700,47328
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-04,31800,30655
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-04,13250,13803
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-04,18550,17454
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-04,21200,22306
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-05,116600,113489
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-05,15900,15045
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-05,47700,48317
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-05,31800,30563
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-05,13250,14033
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-05,18550,17915
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-05,21200,20581
Facilities,CC-4300,Building Maintenance,5100,Salaries — Regular,2026-06,116600,112359
Facilities,CC-4300,Building Maintenance,5150,Salaries — Overtime,2026-06,15900,15893
Facilities,CC-4300,Building Maintenance,5200,Benefits,2026-06,47700,50196
Facilities,CC-4300,Building Maintenance,5400,Professional Services,2026-06,31800,32208
Facilities,CC-4300,Building Maintenance,5600,Supplies,2026-06,13250,12772
Facilities,CC-4300,Building Maintenance,5700,Equipment,2026-06,18550,19121
Facilities,CC-4300,Building Maintenance,5800,Facilities & Utilities,2026-06,21200,20268
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-01,149600,142209
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-01,20400,20541
Facilities,CC-4310,Security Services,5200,Benefits,2026-01,61200,62803
Facilities,CC-4310,Security Services,5400,Professional Services,2026-01,40800,40548
Facilities,CC-4310,Security Services,5600,Supplies,2026-01,17000,17131
Facilities,CC-4310,Security Services,5700,Equipment,2026-01,23800,24070
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-01,27200,25651
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-02,149600,145973
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-02,20400,19354
Facilities,CC-4310,Security Services,5200,Benefits,2026-02,61200,62223
Facilities,CC-4310,Security Services,5400,Professional Services,2026-02,40800,42325
Facilities,CC-4310,Security Services,5600,Supplies,2026-02,17000,17947
Facilities,CC-4310,Security Services,5700,Equipment,2026-02,23800,24486
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-02,27200,27870
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-03,149600,141958
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-03,20400,21492
Facilities,CC-4310,Security Services,5200,Benefits,2026-03,61200,63978
Facilities,CC-4310,Security Services,5400,Professional Services,2026-03,40800,39470
Facilities,CC-4310,Security Services,5600,Supplies,2026-03,17000,16284
Facilities,CC-4310,Security Services,5700,Equipment,2026-03,23800,23922
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-03,27200,27262
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-04,149600,149183
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-04,20400,21233
Facilities,CC-4310,Security Services,5200,Benefits,2026-04,61200,59458
Facilities,CC-4310,Security Services,5400,Professional Services,2026-04,40800,118320
Facilities,CC-4310,Security Services,5600,Supplies,2026-04,17000,17361
Facilities,CC-4310,Security Services,5700,Equipment,2026-04,23800,22465
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-04,27200,26354
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-05,149600,150291
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-05,20400,20480
Facilities,CC-4310,Security Services,5200,Benefits,2026-05,61200,63906
Facilities,CC-4310,Security Services,5400,Professional Services,2026-05,40800,2448
Facilities,CC-4310,Security Services,5600,Supplies,2026-05,17000,16710
Facilities,CC-4310,Security Services,5700,Equipment,2026-05,23800,25131
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-05,27200,28125
Facilities,CC-4310,Security Services,5100,Salaries — Regular,2026-06,149600,144310
Facilities,CC-4310,Security Services,5150,Salaries — Overtime,2026-06,20400,20114
Facilities,CC-4310,Security Services,5200,Benefits,2026-06,61200,60673
Facilities,CC-4310,Security Services,5400,Professional Services,2026-06,40800,2448
Facilities,CC-4310,Security Services,5600,Supplies,2026-06,17000,17574
Facilities,CC-4310,Security Services,5700,Equipment,2026-06,23800,24129
Facilities,CC-4310,Security Services,5800,Facilities & Utilities,2026-06,27200,26985
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-01,131120,126498
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-01,17880,18024
Technology,CC-4400,Infrastructure,5200,Benefits,2026-01,53640,55770
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-01,35760,36091
Technology,CC-4400,Infrastructure,5600,Supplies,2026-01,14900,14973
Technology,CC-4400,Infrastructure,5700,Equipment,2026-01,20860,19678
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-01,23840,24165
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-02,131120,131185
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-02,17880,18462
Technology,CC-4400,Infrastructure,5200,Benefits,2026-02,53640,52502
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-02,35760,35459
Technology,CC-4400,Infrastructure,5600,Supplies,2026-02,14900,14492
Technology,CC-4400,Infrastructure,5700,Equipment,2026-02,20860,21520
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-02,23840,24853
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-03,131120,123570
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-03,17880,18850
Technology,CC-4400,Infrastructure,5200,Benefits,2026-03,53640,53307
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-03,35760,35854
Technology,CC-4400,Infrastructure,5600,Supplies,2026-03,14900,14737
Technology,CC-4400,Infrastructure,5700,Equipment,2026-03,20860,20568
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-03,23840,24036
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-04,131120,124514
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-04,17880,18201
Technology,CC-4400,Infrastructure,5200,Benefits,2026-04,53640,54897
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-04,35760,35526
Technology,CC-4400,Infrastructure,5600,Supplies,2026-04,14900,14332
Technology,CC-4400,Infrastructure,5700,Equipment,2026-04,20860,20487
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-04,23840,22806
Technology,CC-4400,Infrastructure,5999,Misc Adjustments,2026-04,0,67400
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-05,131120,138270
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-05,17880,18479
Technology,CC-4400,Infrastructure,5200,Benefits,2026-05,53640,56468
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-05,35760,36096
Technology,CC-4400,Infrastructure,5600,Supplies,2026-05,14900,14154
Technology,CC-4400,Infrastructure,5700,Equipment,2026-05,20860,21562
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-05,23840,24857
Technology,CC-4400,Infrastructure,5100,Salaries — Regular,2026-06,131120,124203
Technology,CC-4400,Infrastructure,5150,Salaries — Overtime,2026-06,17880,17122
Technology,CC-4400,Infrastructure,5200,Benefits,2026-06,53640,54154
Technology,CC-4400,Infrastructure,5400,Professional Services,2026-06,35760,35283
Technology,CC-4400,Infrastructure,5600,Supplies,2026-06,14900,15619
Technology,CC-4400,Infrastructure,5700,Equipment,2026-06,20860,20742
Technology,CC-4400,Infrastructure,5800,Facilities & Utilities,2026-06,23840,22508
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-01,68640,65452
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-01,9360,9048
Technology,CC-4410,Application Support,5200,Benefits,2026-01,28080,26508
Technology,CC-4410,Application Support,5400,Professional Services,2026-01,18720,18985
Technology,CC-4410,Application Support,5600,Supplies,2026-01,7800,8262
Technology,CC-4410,Application Support,5700,Equipment,2026-01,10920,10628
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-01,12480,12777
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-02,68640,65867
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-02,9360,9123
Technology,CC-4410,Application Support,5200,Benefits,2026-02,28080,29708
Technology,CC-4410,Application Support,5400,Professional Services,2026-02,18720,19326
Technology,CC-4410,Application Support,5600,Supplies,2026-02,7800,7698
Technology,CC-4410,Application Support,5700,Equipment,2026-02,10920,11315
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-02,12480,13029
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-03,68640,71261
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-03,9360,9475
Technology,CC-4410,Application Support,5200,Benefits,2026-03,28080,26589
Technology,CC-4410,Application Support,5400,Professional Services,2026-03,18720,17844
Technology,CC-4410,Application Support,5600,Supplies,2026-03,7800,8158
Technology,CC-4410,Application Support,5700,Equipment,2026-03,10920,11507
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-03,12480,12052
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-04,68640,66242
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-04,9360,9781
Technology,CC-4410,Application Support,5200,Benefits,2026-04,28080,29198
Technology,CC-4410,Application Support,5400,Professional Services,2026-04,18720,18525
Technology,CC-4410,Application Support,5600,Supplies,2026-04,7800,8096
Technology,CC-4410,Application Support,5700,Equipment,2026-04,0,25544
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-04,12480,12048
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-05,68640,70679
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-05,9360,9435
Technology,CC-4410,Application Support,5200,Benefits,2026-05,28080,29193
Technology,CC-4410,Application Support,5400,Professional Services,2026-05,18720,19539
Technology,CC-4410,Application Support,5600,Supplies,2026-05,7800,7682
Technology,CC-4410,Application Support,5700,Equipment,2026-05,0,30942
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-05,12480,11774
Technology,CC-4410,Application Support,5100,Salaries — Regular,2026-06,68640,66945
Technology,CC-4410,Application Support,5150,Salaries — Overtime,2026-06,9360,9161
Technology,CC-4410,Application Support,5200,Benefits,2026-06,28080,29108
Technology,CC-4410,Application Support,5400,Professional Services,2026-06,18720,19425
Technology,CC-4410,Application Support,5600,Supplies,2026-06,7800,7516
Technology,CC-4410,Application Support,5700,Equipment,2026-06,0,29954
Technology,CC-4410,Application Support,5800,Facilities & Utilities,2026-06,12480,12769
